event,time_utc,unix_ts,market_slug,side,contracts,entry_price,exit_price,entry_cost_usd,trade_pnl_usd,cumulative_pnl_usd,won,trade_number,total_closed_trades,win_rate_pct,max_dd_abs,max_dd_pct,hedged
OPEN,2026-07-06T05:32:42Z,1783315962.439,btc-updown-5m-1783315800,UP,3,0.620000,,1.8600,,0.0000,,1,,,,,False
CLOSE,2026-07-06T05:34:50Z,1783316090.252,btc-updown-5m-1783315800,UP,3,0.620000,0.590000,1.8600,-1.8600,-1.8600,False,1,1,0.00,0.480000,77.42,False
OPEN,2026-07-06T05:36:00Z,1783316160.587,btc-updown-5m-1783316100,UP,2,0.810000,,1.6200,,-1.8600,,2,,,,,False
CLOSE,2026-07-06T05:39:50Z,1783316390.227,btc-updown-5m-1783316100,UP,2,0.810000,0.999000,1.6200,+0.1800,-1.6800,True,2,2,50.00,0.040000,4.94,True
OPEN,2026-07-06T05:41:00Z,1783316460.232,btc-updown-5m-1783316400,UP,2,0.720000,,1.4400,,-1.6800,,3,,,,,False
OPEN,2026-07-06T05:43:59Z,1783316639.730,btc-updown-5m-1783316400,UP,2,0.780000,,1.5600,,-1.6800,,3,,,,,False
CLOSE,2026-07-06T05:44:50Z,1783316690.072,btc-updown-5m-1783316400,UP,2,0.780000,0.890000,1.5600,+0.2100,-1.4700,True,3,3,66.67,0.000000,0.00,True
OPEN,2026-07-06T05:47:23Z,1783316843.838,btc-updown-5m-1783316700,DOWN,3,0.650000,,1.9500,,-1.4700,,4,,,,,False
CLOSE,2026-07-06T05:49:50Z,1783316990.074,btc-updown-5m-1783316700,DOWN,3,0.650000,0.370000,1.9500,-1.9500,-3.4200,False,4,4,50.00,0.480000,73.85,False
OPEN,2026-07-06T05:51:09Z,1783317069.280,btc-updown-5m-1783317000,DOWN,3,0.610000,,1.8300,,-3.4200,,5,,,,,False
CLOSE,2026-07-06T05:54:50Z,1783317290.193,btc-updown-5m-1783317000,DOWN,3,0.610000,0.010000,1.8300,-1.8300,-5.2500,False,5,5,40.00,0.600000,98.36,False
OPEN,2026-07-06T05:56:32Z,1783317392.990,btc-updown-5m-1783317300,DOWN,3,0.600000,,1.8000,,-5.2500,,6,,,,,False
CLOSE,2026-07-06T05:59:50Z,1783317590.230,btc-updown-5m-1783317300,DOWN,3,0.600000,0.990000,1.8000,+1.2000,-4.0500,True,6,6,50.00,0.090000,15.00,False
OPEN,2026-07-06T06:01:00Z,1783317660.183,btc-updown-5m-1783317600,UP,3,0.660000,,1.9800,,-4.0500,,7,,,,,False
CLOSE,2026-07-06T06:04:50Z,1783317890.024,btc-updown-5m-1783317600,UP,3,0.660000,0.070000,1.9800,-1.9800,-6.0300,False,7,7,42.86,0.600000,90.91,False
OPEN,2026-07-06T06:06:13Z,1783317973.130,btc-updown-5m-1783317900,DOWN,2,0.680000,,1.3600,,-6.0300,,8,,,,,False
CLOSE,2026-07-06T06:09:50Z,1783318190.184,btc-updown-5m-1783317900,DOWN,2,0.680000,0.740000,1.3600,+0.6400,-5.3900,True,8,8,50.00,0.450000,66.18,False
OPEN,2026-07-06T06:11:00Z,1783318260.246,btc-updown-5m-1783318200,DOWN,2,0.700000,,1.4000,,-5.3900,,9,,,,,False
CLOSE,2026-07-06T06:14:50Z,1783318490.190,btc-updown-5m-1783318200,DOWN,2,0.700000,0.030000,1.4000,-1.4000,-6.7900,False,9,9,44.44,0.670000,95.71,False
OPEN,2026-07-06T06:16:01Z,1783318561.378,btc-updown-5m-1783318500,UP,2,0.690000,,1.3800,,-6.7900,,10,,,,,False
CLOSE,2026-07-06T06:19:50Z,1783318790.052,btc-updown-5m-1783318500,UP,2,0.690000,0.010000,1.3800,-1.3800,-8.1700,False,10,10,40.00,0.680000,98.55,False
OPEN,2026-07-06T06:21:00Z,1783318860.824,btc-updown-5m-1783318800,DOWN,2,0.760000,,1.5200,,-8.1700,,11,,,,,False
CLOSE,2026-07-06T06:24:50Z,1783319090.167,btc-updown-5m-1783318800,DOWN,2,0.760000,0.990000,1.5200,+0.2300,-7.9400,True,11,11,45.45,0.080000,10.53,True
OPEN,2026-07-06T06:26:29Z,1783319189.430,btc-updown-5m-1783319100,DOWN,3,0.600000,,1.8000,,-7.9400,,12,,,,,False
CLOSE,2026-07-06T06:29:50Z,1783319390.030,btc-updown-5m-1783319100,DOWN,3,0.600000,0.870000,1.8000,+1.2000,-6.7400,True,12,12,50.00,0.100000,16.67,False
OPEN,2026-07-06T06:31:54Z,1783319514.764,btc-updown-5m-1783319400,DOWN,3,0.600000,,1.8000,,-6.7400,,13,,,,,False
CLOSE,2026-07-06T06:34:50Z,1783319690.154,btc-updown-5m-1783319400,DOWN,3,0.600000,0.990000,1.8000,+1.2000,-5.5400,True,13,13,53.85,0.350000,58.33,False
OPEN,2026-07-06T06:36:05Z,1783319765.320,btc-updown-5m-1783319700,UP,2,0.780000,,1.5600,,-5.5400,,14,,,,,False
CLOSE,2026-07-06T06:39:50Z,1783319990.052,btc-updown-5m-1783319700,UP,2,0.780000,0.990000,1.5600,+0.4400,-5.1000,True,14,14,57.14,0.140000,17.95,False
OPEN,2026-07-06T06:41:00Z,1783320060.011,btc-updown-5m-1783320000,UP,2,0.680000,,1.3600,,-5.1000,,15,,,,,False
